"Rank","AvgValidacoes","Folder","LoadBalancer","Language","Framework","Database","ErrorCount","Link"
"120","15.00813","bine-golang","nginx","go","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/bine-golang"
"121","15.01626","marcusantunius","nginx","rust","actix_web","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/marcusantunius"
"122","15.02439","raissadev","nginx","golang","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/raissadev"
"123","15.056911","victor-132","nginx","go","fiber","mongodb","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/victor-132"
"124","15.138211","ftathiago-blogdoft-csharp-aot","nginx","unknown","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ftathiago-blogdoft-csharp-aot"
"125","15.211382","jonathanperis","nginx","unknown","unknown","Postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/jonathanperis"
"126","15.219512","andre-e-gustavo","nginx","rust","actix","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/andre-e-gustavo"
"127","15.260163","edubarbieri","custom","golang","unknown","mariadb","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/edubarbieri"
"128","15.260163","eriksilva","nginx","go","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/eriksilva"
"129","15.284553","nosilex","nginx","go","unknown","mariadb","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/nosilex"
"130","15.308943","gavageovanni","custom","golang","echo","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gavageovanni"
"131","15.357724","eugenio-cunha","nginx","go","fiber","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/eugenio-cunha"
"132","15.357724","gabrielluciano-go","nginx","go","unknown","postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gabrielluciano-go"
"133","15.373984","paulohenriqu","nginx","Java","unknown","PostgreSQL","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/paulohenriqu"
"134","15.406504","gavageovanni-kotlin","custom","kotlin","spring_webflux","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gavageovanni-kotlin"
"135","15.406504","lucasSSalgado","custom","golang","fiber","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lucasSSalgado"
"136","15.447154","avalonbits","custom","go","echo","sqlite","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/avalonbits"
"137","15.455285","lfsmariz-go","nginx","go","fiber","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lfsmariz-go"
"138","15.536585","wagner","nginx",".NET","unknown","PostgreSQL","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/wagner"
"139","15.536585","lec-codes-go-rinha","nginx","golang","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lec-codes-go-rinha"
"140","15.585366","ronaldo_scardini","nginx","rust","unknown","postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/ronaldo_scardini"
"141","15.666667","lsfratel","custom","kotlin","ktor","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lsfratel"
"142","15.682927","abraaolevi","nginx","Go","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/abraaolevi"
"143","15.739837","mateuxlucax-dart","nginx","dart","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/mateuxlucax-dart"
"144","15.788618","viniville-spring-webmvc-native","nginx","java","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/viniville-spring-webmvc-native"
"145","15.813008","fabionaspolini","nginx","dotnet","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/fabionaspolini"
