"Rank","Folder","LoadBalancer","Language","Framework","Database","SuccessCount","ErrorCount","Link"
"536","mdamaceno-ada","nginx","ada","unknown","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/mdamaceno-ada"
"537","thiagosantana","nginx","Java","unknown","mongodb","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/thiagosantana"
"538","victor-macedo","nginx","go-chi","unknown","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/victor-macedo"
"539","matheusdojava","nginx","java","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/matheusdojava"
"540","BrayaOrtega","custom",".NET","unknown","PostgreSQL","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/BrayaOrtega"
"541","arrudaricardo-02","nginx","go","unknown","postgreSQL","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/arrudaricardo-02"
"542","tonico","custom","ruby","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/tonico"
"543","hass-rust","nginx","rust","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/hass-rust"
"544","daniloflorenzano","nginx","dotnet","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/daniloflorenzano"
"545","impedro29-performance","nginx","golang","unknown","nutsdb","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/impedro29-performance"
"546","adamatti-node","nginx","javascript","express","PostgreSQL","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/adamatti-node"
"547","vitor_weirich_java_network_host","nginx","java","unknown","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vitor_weirich_java_network_host"
"548","glauco-filho-01","nginx","unknown","fastapi","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/glauco-filho-01"
"549","vitor_weirich_java","nginx","java","unknown","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vitor_weirich_java"
"550","gcrispino","nginx","go","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gcrispino"
"551","gutkedu-nodejs","custom","nodejs","unknown","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gutkedu-nodejs"
"552","marcusadriano-go","nginx","golang","fiber","postgres","61379","1","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/marcusadriano-go"
"553","gustavo-node","nginx","nodejs","unknown","postgres","61378","2","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gustavo-node"
"554","lm-bunsh","nginx","unknown","bun","sqlite3","61378","2","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lm-bunsh"
"555","gbfonseca","nginx","rust","unknown","mongodb","61378","2","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gbfonseca"
"556","fabiokleis","nginx","erlang","unknown","postgres","61376","4","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/fabiokleis"
"557","raphaelmonticello","nginx","go","fiber","postgres","61368","12","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/raphaelmonticello"
"558","viniciusnrg","nginx","java","unknown","postgres","61352","28","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/viniciusnrg"
"559","marcelo-python-async","custom","python","unknown","postgresql","61337","43","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/marcelo-python-async"
"560","diego-coronel","nginx","kotlin","quarkus","postgres","61321","59","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/diego-coronel"
"561","yanpgabriel","nginx","unknown","quarkus","postgres","61304","76","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/yanpgabriel"
"562","vyctorguimaraes","nginx","typescript","unknown","postgresql","61164","216","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vyctorguimaraes"
"563","whyakari","custom","golang","gin-gonic","mariadb","61033","347","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/whyakari"
"564","yanpitangui","nginx",".NET","unknown","Postgresql","60948","432","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/yanpitangui"
"565","albert-js","nginx","node.js","unknown","postgres","60728","652","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/albert-js"
"566","vgdss","nginx","python","FastAPI","PostgreSQL","60664","716","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vgdss"
"567","newton","nginx","elixir","unknown","postgres","60631","749","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/newton"
"568","acdesouza","nginx","Ruby_on_Rails","unknown","postgresql","60591","789","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/acdesouza"
"569","chipytux","nginx","python","unknown","postgres","60319","1061","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/chipytux"
"570","victor99z","nginx","go","fiber","postgres","59056","2324","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/victor99z"
"571","marincor","haproxy","golang","fiber","postgres","57851","3529","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/marincor"
"572","wladneto","nginx","nodeJS","express","mySQL","57715","3665","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/wladneto"
"573","avelfir-java","nginx","java","unknown","postgres","56952","4428","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/avelfir-java"
