"Rank","AvgTotal","Folder","AvgCredito","AvgDebito","AvgExtrato","AvgValidacoes","LoadBalancer","Language","Framework","Database","SuccessCount","ErrorCount","Link"
"54","0.810708","wagner","0.837009","0.747983","0.893548","15.536585","nginx",".NET","unknown","PostgreSQL","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/wagner"
"55","0.814074","rafaeltorquato-saitama","0.765458","0.80053","0.876882","12.081301","custom","java","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rafaeltorquato-saitama"
"56","0.814139","juniorleaoo-host","0.784139","0.767474","1.091398","16.512195","custom","kotlin","http4k","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/juniorleaoo-host"
"57","0.814237","tiagoguerreirodev-go","0.833635","0.775744","0.795699","10.373984","nginx","golang","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/tiagoguerreirodev-go"
"58","0.824903","nmessias","0.842296","0.778316","0.969355","10.853659","nginx","php","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/nmessias"
"59","0.82887","marcospaulo","0.771098","0.785401","1.1","20.073171","","","","","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/marcospaulo"
"60","0.828951","jovitcorreia","0.792649","0.781442","0.912903","20.739837","nginx","java","unknown","postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/jovitcorreia"
"61","0.841016","jpcairesf-go","0.842749","0.801513","0.843011","13.268293","nginx","go","unknown","unknown","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/jpcairesf-go"
"62","0.849081","felipma-rust-rataria-version","0.839023","0.802975","1.053226","14.252033","nginx","rust","axum","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/felipma-rust-rataria-version"
"63","0.852544","marcospaulo-java","0.828499","0.789435","1.096774","21.390244","custom","java","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/marcospaulo-java"
"64","0.857161","juliorovesta","0.803525","0.773802","0.906989","35.642276","nginx","dotnet","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/juliorovesta"
"65","0.864364","lmtani","0.947936","0.689259","2.504839","19.02439","nginx","Go","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lmtani"
"66","0.871502","luizgribeiro-monGo","0.81284","0.868205","0.732796","13.504065","nginx","Go","unknown","MongoDB","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/luizgribeiro-monGo"
"67","0.878738","rayan-elixir","0.841893","0.848563","1.125269","12.829268","nginx","elixir","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rayan-elixir"
"68","0.882477","guilherme-dotnet8","0.836405","0.810565","1.026344","29.333333","nginx",".net","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/guilherme-dotnet8"
"69","0.886835","jhonnyboy","0.867925","0.828593","1.461828","14.02439","nginx","golang","unknown","mysql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/jhonnyboy"
"70","0.91298","mateuxlucax-quarkus","0.902669","0.848941","1.310215","17.219512","nginx","unknown","quarkus","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/mateuxlucax-quarkus"
"71","0.920297","alcides-quarkus","0.905992","0.894075","0.892473","12.105691","nginx","java","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/alcides-quarkus"
"72","0.930524","jonathanperis","0.909164","0.887544","1.130645","15.211382","nginx","unknown","unknown","Postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/jonathanperis"
"73","0.933808","lipe1994_drogon","0.862185","0.832602","3.032796","13.390244","","","","","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lipe1994_drogon"
